Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_3009,1,Keystone 3009,
C1,1210,1,47uF,
C2,0603,1,10uF,
"C3, C8",0603,2,10nF,
"C4, C6, C7",0603,3,100nF,
C5,0603,1,1uF,
"J1, J2, J3, J4, J5, J6, J7, J8",TestPoint_Pad_D1.5mm,8,Pogopin Pad,
LS1,Buzzer_PT86-091940LMR,1,PT86-091940LMR,
"Q1, Q2, Q3",SOT95P280X125-3N,3,AO3400A,
"R1, R2",0603,2,47,
"R10, R11, R12, R5, R6, R8, R9",0603,7,470,
"R3, R4, R7",0603,3,100K,
SW1,MSS22D18,1,SW_SPDT,
U1,QFN_LSM6DSV80XTR_STM,1,LSM6DSV80XTR,
U2,SOIC-20W_7.5x12.8mm_P1.27mm,1,ATtiny3226-S,
U3,OSL30251,1,OSL30251,
